id,product_name,,,,,,,,description
41,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,,,,,,,,"Key Features of Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System Dry run protection L/H Voltage protection Corrosion free sensors Has Manual/Auto mode,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System Price: Rs. 4,990 ""This system is suitable for single phase submersible pump. The sytem auto start the submersible pump when water level in tank reaches preset lower level and auto switch off the pump when tank gets full.Upper and lower level is adjustable as per user choice. The system indicates 4 different levels of water (¼ , ½, ¾, and Full) of overhead tank. The system has Auto /manual switch."",Related video of Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,Specifications of Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System In the Box 1 pack of Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER General Brand Skayvon Model Number SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired/Wireless Wired Number of Sensors 4 Brand Color Ivory Display Type LED Audible Alarm NO Installation Type Cabling Detection Range 987 ft Minimum Alarm Distance 10 m Maximum Alarm Distance 98 m Color Silver LED Indicators Yes"
42,MASARA Solid Women's Straight Kurta,,,,,,,,"Key Features of MASARA Solid Women's Straight Kurta Green Straight,MASARA Solid Women's Straight Kurta Price: Rs. 599 The knee length kurti with raindrop pattern with subtle colors will completely transform your look at your work place. Soft cotton fabric used in this kurti is to die for.,Specifications of MASARA Solid Women's Straight Kurta Kurta Details Sleeve 3/4 Sleeve Fabric Cotton Type Straight Neck Round General Details Pattern Solid Occasion Casual Ideal For Women's Additional Details Style Code M002PCOTSEARAIN"
43,Vishudh Printed Women's Straight Kurta,,,,,,,,"Specifications of Vishudh Printed Women's Straight Kurta Kurta Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Fabric 100% POLYESTER Type Straight Neck ROUND NECK General Details Pattern Printed Occasion Festive Ideal For Women's In the Box Kurta Additional Details Style Code VNKU004371 RUST::TEAL Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach"
44,Rapter BNC-047 BNC Wire Connector,,,,,,,,"Rapter BNC-047 BNC Wire Connector (Silver, Pack of 64) Price: Rs. 899 Rapter Pack of 64 BNC Connector.Superior quality BNC Connectors with high quality outer metel and brass conductors used to maintain a proper video/signal quality.BNC normally used in co-axial cables to lock with female connectors which ensures permanancy of connection.They can be used in DVRs, NVRs and CCTV Cameras etc.,Specifications of Rapter BNC-047 BNC Wire Connector (Silver, Pack of 64) General Brand Rapter Suitable For Wire to Wire Connection, Wire to Circuit Board Connection Model Number BNC-047 Type BNC Waterproof Yes Corrosion Proof Yes Color Silver In the box Sales Package 64 BNC Connector Pack of 64"
45,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,,,,,,,,"Key Features of Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System Dry run protection L/H Voltage protection Corrosion free sensors Has Manual/Auto mode,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System Price: Rs. 4,990 ""This system is suitable for Three phase submersible pump. The sytem auto start the submersible pump when water level in tank reaches preset lower level and auto switch off the pump when tank gets full.Upper and lower level is adjustable as per user choice. The system indicates 4 different levels of water (¼ , ½, ¾, and Full) of overhead tank. The system has Auto /manual switch."",Related video of Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,Specifications of Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System In the Box 1 pack of Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER General Brand Skayvon Model Number SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired/Wireless Wired Number of Sensors 4 Brand Color Ivory Display Type LED Audible Alarm NO Installation Type Cabling Detection Range 987 ft Minimum Alarm Distance 10 m Maximum Alarm Distance 98 m Color Silver LED Indicators Yes Stand By Yes Additional Features Certification ISO 9001:2008"
46,Vishudh Printed Women's Straight Kurta,,,,,,,,"Specifications of Vishudh Printed Women's Straight Kurta Kurta Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Fabric 100% POLYESTER Type Straight Neck ROUND NECK General Details Pattern Printed Occasion Festive Ideal For Women's In the Box Kurta Additional Details Style Code VNKU004373 BLACK::MAROON Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach"
47,Behringer Xenyx 502 Analog Sound Mixer,,,,,,,,Specifications of Behringer Xenyx 502 Analog Sound Mixer In The Box 1 Sound Mixer General Number of Faders 4 Brand Behringer Application Type Live Performance Mixer Number of Channels 5 Model Number Xenyx 502 Channel Equalizer Type 2 band EQ Type Analog Number of Bus 2 On-board Effects No Dimensions Weight 1 kg Height 15 cm Width 15 cm Warranty Covered in Warranty Warranty of the product is limited to manufacturing defects only Warranty Summary 1 year India Warranty Service Type Customer needs to send the product to the authorized service centre of the company in case of any problem Not Covered in Warranty Warranty does not cover product damaged while in use by customer Power Features Power Consumption 50 Power Requirements 230V AC
48,Vishudh Printed Women's Straight Kurta,,,,,,,,"Key Features of Vishudh Printed Women's Straight Kurta BLACK, GREY Straight,Specifications of Vishudh Printed Women's Straight Kurta Kurta Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Fabric 100% POLYESTER Type Straight Neck ROUND NECK General Details Pattern Printed Occasion Festive Ideal For Women's In the Box Kurta Additional Details Style Code VNKU004374 BLACK::GREY Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach"
49,Vishudh Printed Women's Straight Kurta,,,,,,,,"Specifications of Vishudh Printed Women's Straight Kurta Kurta Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Fabric 100% POLYESTER Type Straight Neck ROUND NECK General Details Pattern Printed Occasion Festive Ideal For Women's In the Box Kurta Additional Details Style Code VNKU004372 PURPLE::PLUM Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach"
50,MASARA Solid Women's Straight Kurta,,,,,,,,"Key Features of MASARA Solid Women's Straight Kurta Green Straight,MASARA Solid Women's Straight Kurta Price: Rs. 599 The knee length kurti with raindrop pattern with subtle colors will completely transform your look at your work place. Soft cotton fabric used in this kurti is to die for.,Specifications of MASARA Solid Women's Straight Kurta Kurta Details Sleeve 3/4 Sleeve Fabric Cotton Type Straight Neck Round General Details Pattern Solid Occasion Casual Ideal For Women's Additional Details Style Code M003PCOTSEARAIN"
51,MASARA Solid Women's Straight Kurta,,,,,,,,"Key Features of MASARA Solid Women's Straight Kurta Red Straight,MASARA Solid Women's Straight Kurta Price: Rs. 550 The blooming flowers of summer aren’t just for the gardens anymore. Bold floral prints on this knee-length cotton kurta allow you to effortlessly coordinate natural beauty into your outfit. The bright and pastel colors provide a more graceful feature to the ensemble.,Specifications of MASARA Solid Women's Straight Kurta Kurta Details Sleeve 3/4 Sleeve Fabric Cotton Type Straight Neck Round General Details Pattern Solid Occasion Casual Ideal For Women's Additional Details Style Code M002PCOTREDGAR"
52,Roadster Men's Zipper Solid Cardigan,,,,,,,,"Key Features of Roadster Men's Zipper Solid Cardigan Fabric: 100% Acrylic Suitable For: Western Wear,Roadster Men's Zipper Solid Cardigan Price: Rs. 699 Navy blue and olive green cardigan, has a mock collar, a full zip closure, long raglan sleeves, two insert pockets, a ribbed hemLook stylish while beating the winter chill in this comfortable cardigan from Roadster. Team it with a pair of jeans and casual shoes when heading out for the day..,Specifications of Roadster Men's Zipper Solid Cardigan Cardigan Details Closure Zipper Sleeve Full Sleeve Number of Contents in Sales Package Pack of 1 Fabric 100% Acrylic General Details Pattern Solid Ideal For Men's Occasion Casual Fabric Care Machine-Wash Cold Additional Details Style Code 872907"
53,Vishudh Printed Women's Straight Kurta,,,,,,,,"Specifications of Vishudh Printed Women's Straight Kurta Kurta Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Fabric 100% Cotton Type Straight Neck ROUND NECK General Details Pattern Printed Occasion Festive Ideal For Women's In the Box Kurta Additional Details Style Code VNKU004385 MAROON Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach"
54,Noor Embroidered Women's Straight Kurta,,,,,,,,"Key Features of Noor Embroidered Women's Straight Kurta 100% Rayon Fabric Elegant Hand Embroidered Neck,Specifications of Noor Embroidered Women's Straight Kurta Kurta Details Sleeve 3/4 Sleeve Number of Contents in Sales Package Pack of 1 Fabric Rayon Type Straight Neck Round Neck General Details Pattern Embroidered Occasion Casual Ideal For Women's Additional Details Style Code NW_0012 Fabric Care Dry Clean Only"
55,MASARA Solid Women's Straight Kurta,,,,,,,,"Key Features of MASARA Solid Women's Straight Kurta Pink Straight,MASARA Solid Women's Straight Kurta Price: Rs. 599 The knee length kurti with raindrop pattern with subtle colors will completely transform your look at your work place. Soft cotton fabric used in this kurti is to die for.,Specifications of MASARA Solid Women's Straight Kurta Kurta Details Sleeve 3/4 Sleeve Fabric Cotton Type Straight Neck Round General Details Pattern Solid Occasion Casual Ideal For Women's Additional Details Style Code M001PCOTPINRAIN"
56,Vishudh Printed Women's Straight Kurta,,,,,,,,"Key Features of Vishudh Printed Women's Straight Kurta PLUM, PINK Straight,Specifications of Vishudh Printed Women's Straight Kurta Kurta Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Fabric 100% POLYESTER Type Straight Neck ROUND NECK General Details Pattern Printed Occasion Festive Ideal For Women's In the Box Kurta Additional Details Style Code VNKU004376 PLUM::PINK Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach"
57,Libas Printed Women's A-line Kurta,,,,,,,,"Specifications of Libas Printed Women's A-line Kurta General Details Pattern Printed Ideal For Women's Occasion Party, Casual Kurta Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 1 Fabric Chanderi Type A-line Neck Chinese Fabric Care Dry Clean Only Additional Details Style Code 2438-Red In the Box Kurta"
58,Libas Printed Women's Anarkali Kurta,,,,,,,,"Specifications of Libas Printed Women's Anarkali Kurta Kurta Details Sleeve 3/4 Sleeve Number of Contents in Sales Package Pack of 1 Fabric Rayon Type Anarkali Neck Boat General Details Pattern Printed Occasion Party, Casual Ideal For Women's In the Box Kurta Additional Details Style Code 2422-Beige Fabric Care Dry Clean Only"
59,MASARA Solid Women's Straight Kurta,,,,,,,,"Key Features of MASARA Solid Women's Straight Kurta Green Straight,MASARA Solid Women's Straight Kurta Price: Rs. 499 Floral patterns don’t have to be dainty. Go bold with brighter colors and a more defined floral print. Darker shades of this kurta allow your outfit to make a more intense impression, and with the variety of flower hues, it’s easy to select accessories that coordinate. Its knee-length would allow you to pair it up along jeans as well as leggings. Select a chunky necklace, pronounced ring or bold-colored emboidered jacket that picks up on tones found in the floral print.,Specifications of MASARA Solid Women's Straight Kurta General Details Pattern Solid Ideal For Women's Occasion Casual Kurta Details Sleeve 3/4 Sleeve Fabric Cotton Type Straight Neck Round Additional Details Style Code M004PCOTGREFLO"
60,HRS ULTIMATE BOY Chest Pads,,,,,,,,"HRS ULTIMATE BOY Chest Pads (WHITE, RIGHT-HANDED) Price: Rs. 395 Light wt. Moulded HD foam,Specifications of HRS ULTIMATE BOY Chest Pads (WHITE, RIGHT-HANDED) General Type Chest Pads Face Material Polyvinyl Chloride Inner Material Cotton, Fabric Suitable for RIGHT-HANDED Dimensions Weight 180 g In the Box Sales Package 1 Pad"
61,Vermello Men Casual Brown Genuine Leather Belt,,,,,,,,"Specifications of Vermello Men Casual Brown Genuine Leather Belt (Brown) General Reversible Belt No Material Genuine Leather Style Code G7001BRN Occasion Casual Ideal For Men Color Code Brown Belt Size 34 Body Features 5 Punched Holes, Pin Buckle Dimensions Weight 250 g Length 34 inch Width 3.8 cm In the Box 1 Belt"
62,HRS CLUB BOY Thigh Pads,,,,,,,,"HRS CLUB BOY Thigh Pads (WHITE, RIGHT-HANDED) Price: Rs. 250 Foam filled economical pad with elastic straps,Specifications of HRS CLUB BOY Thigh Pads (WHITE, RIGHT-HANDED) General Type Thigh Pads Face Material Polyvinyl Chloride Inner Material Cotton, Fabric Suitable for RIGHT-HANDED Dimensions Weight 170 g In the Box Sales Package 1 Pad"
63,Ligans NY Men Formal Black Genuine Leather Belt,,,,,,,,"Key Features of Ligans NY Men Formal Black Genuine Leather Belt Genuine Leather Shiney Buckle,Ligans NY Men Formal Black Genuine Leather Belt (Black) Price: Rs. 695 Get recognised for your exceptional dressing sense by wearing this black coloured belt with a white shirt and grey trousers. This fabulous belt from Ligans NY is made from genuine leather, which makes it light in weight and a fine quality shiny buckle for every man to invest in.,Specifications of Ligans NY Men Formal Black Genuine Leather Belt (Black) General Reversible Belt No Belt Pattern Punched Belt with Shiney buckle Material Genuine Leather Style Code LNY-M-MO-1017-FS Ideal For Men Occasion Formal Color Code Black Belt Size 28 Body Features 6 Puched Holes, 1 Loop, Genuine Leather, Shiney Buckle Dimensions Weight 200 g Length 34 inch Width 34 mm In the Box Belt"
64,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,,,,,,,,"Key Features of Elegance Polyester Multicolor Abstract Eyelet Door Curtain Floral Curtain,Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) Price: Rs. 899 This curtain enhances the look of the interiors.This curtain is made from 100% high quality polyester fabric.It features an eyelet style stitch with Metal Ring.It makes the room environment romantic and loving.This curtain is ant- wrinkle and anti shrinkage and have elegant apparance.Give your home a bright and modernistic appeal with these designs. The surreal attention is sure to steal hearts. These contemporary eyelet and valance curtains slide smoothly so when you draw them apart first thing in the morning to welcome the bright sun rays you want to wish good morning to the whole world and when you draw them close in the evening, you create the most special moments of joyous beauty given by the soothing prints. Bring home the elegant curtain that softly filters light in your room so that you get the right amount of sunlight.,Specifications of Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) General Brand Elegance Designed For Door Type Eyelet Model Name Abstract Polyester Door Curtain Set Of 2 Model ID Duster25 Color Multicolor Dimensions Length 213 cm In the Box Number of Contents in Sales Package Pack of 2 Sales Package 2 Curtains Body & Design Material Polyester"
65,Liza Women Wedges,,,,,,,,"Key Features of Liza Women Wedges Occasion: Casual, Formal, Party Material: Synthetic Leather Color: Blue Heel Height: 3,Liza Women Wedges Price: Rs. 1,393 LIZA offers an exclusive range of Sandal. Made from fine quality material, this pair of Sandal is durable and comfortable to wear. This pair will definitely keep your feet dry, cool and comfortable. Buy this pair of Liza Sandal and team it up with de,Specifications of Liza Women Wedges General Occasion Casual, Formal, Party Ideal For Women Sandal Details Weight 250 g (per single Sandal) - Weight of the product may vary depending on size. Type Wedges Heel Height 3 inch Outer Material Synthetic Leather Color Blue In the Box 1 Pair Of Sandal Additional Details Care Instructions Clean with a mild damp cloth with regular water."
66,HRS ULTIMATE BOY Elbow Pads,,,,,,,,"HRS ULTIMATE BOY Elbow Pads (WHITE, RIGHT-HANDED) Price: Rs. 230 Light wt. Moulded HD foam,Specifications of HRS ULTIMATE BOY Elbow Pads (WHITE, RIGHT-HANDED) General Type Elbow Pads Inner Material Cotton, Fabric Face Material Polyvinyl Chloride Suitable for RIGHT-HANDED Dimensions Weight 50 g In the Box Sales Package 1 Pad"
67,Sathiyas Cotton Bath Towel,,,,,,,,"Specifications of Sathiyas Cotton Bath Towel (3 Bath Towel, Red, Yellow, Blue) Bath Towel Features Machine Washable Yes Material Cotton Design Self Design General Brand Sathiyas Type Bath Towel GSM 500 Model Name Sathiyas cotton bath towel Ideal For Men, Women, Boys, Girls Model ID asvtwl322 Color Red, Yellow, Blue Size Mediam Dimensions Length 30 inch Width 60 inch In the Box Number of Contents in Sales Package 3 Sales Package 3 Bath Towel"
68,HRS ULTIMATE MEN Chest Pads,,,,,,,,"Specifications of HRS ULTIMATE MEN Chest Pads (WHITE, RIGHT-HANDED) General Type Chest Pads Inner Material Cotton, Fabric Face Material Polyvinyl Chloride Suitable for RIGHT-HANDED Dimensions Weight 200 g In the Box Sales Package 1 Pad"
69,Eurospa Cotton Terry Face Towel Set,,,,,,,,"Key Features of Eurospa Cotton Terry Face Towel Set Size: small Height: 9 inch GSM: 360,Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Price: Rs. 299 Eurospa brings to you an exclusively designed, 100% soft cotton towels of export quality. All our products have soft texture that takes care of your skin and gives you that enriched feeling you deserve. Eurospa has been exporting its bath towels to lot of renowned brands for last 10 years and is famous for its fine prints, absorbency, softness and durability. NOTE: Our product is 100% cotton, so it is susceptible to shrinkage. Product color may vary from the picture. Size may vary by ±3% WASH CARE: Wash in cold Water, Do not Iron, Do not Bleach, Flat dry, Wash before first use. SIZE- FACE TOWEL - 23 cms X 23 cms.,Specifications of Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Bath Towel Features Material Cotton Terry Design SHUVAM General Brand Eurospa GSM 360 Type Face Towel Set Model Name SHUVAM20PCFTSETASSORTED Ideal For Boys, Girls, Men, Women Model ID SHUVAM20PCFTSETASSORTED Size small Color Assorted Dimensions Weight 350 g Length 9 inch Width 9 inch In the Box Number of Contents in Sales Package 20 Sales Package 20 PIECE FACE TOWEL SET"
70,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,,,,,,,,"Key Features of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet Royal Bedsheet Perfact for Wedding & Gifting,Specifications of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet (1 Bedsheet,2 Pillow Cover, Multicolor) General Brand SANTOSH ROYAL FASHION Machine Washable Yes Type Flat Material Cotton Model Name Gold Design Royal Cotton Printed Wedding & Gifted Double Bedsheet With 2 Pillow cover Model ID goldbedi-38 Color Multicolor Size King Fabric Care Machine Wash, Do Not Bleach Dimensions Flat Sheet Width 90 inch / 230 cm Fitted Sheet Width 228 cm Pillow Cover Width 16 inch / 43 cm Pillow Cover Length 28 inch / 72 cm Fitted Sheet Depth 280 cm Fitted Sheet Length 278 cm Flat Sheet Depth 282 cm Flat Sheet Length 110 inch / 280 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 Bedsheet,2 Pillow Cover"
71,CASEDEAL Microsoft Nokia lumia x2 Back Panel,,,,,,,,Specifications of CASEDEAL Microsoft Nokia lumia x2 Back Panel (White) General Brand CASEDEAL Brand Color White Model Number PANEL-A2 Material Plastic Panel Type Back Compatible Model Microsoft Nokia lumia x2 Dimensions Weight 20 g Height 14 cm In the Box 1 Mobile Panel
72,Mario Gotze Women's Printed Casual Orange Shirt,,,,,,,,"Key Features of Mario Gotze Women's Printed Casual Orange Shirt Fit: Slim Suitable For: Western Wear Sleeve: Full Sleeve Fabric: Cotton Color:Orange Pattern:Printed Number Of Contents In Package:1,Mario Gotze Women's Printed Casual Orange Shirt Price: Rs. 899 1 shirt,Specifications of Mario Gotze Women's Printed Casual Orange Shirt General Details Pattern Printed Ideal For Women's Occasion Casual Shirt Details Sleeve Full Sleeve Number of Contents in Sales Package Pack of 1 Brand Fit Slim Fabric Cotton Fit Slim Placket Classic Collar Additional Details Style Code RRCLS-W-6107"
73,Jaipur Print Cotton Floral King sized Double Bedsheet,,,,,,,,"Key Features of Jaipur Print Cotton Floral King sized Double Bedsheet 100% cotton,Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) Price: Rs. 998 This nice bed sheet made up of 100% cotton to give you comfort. This bed sheet is hand printed. This bedsheet gives nice look to your room And its fast colour and good quality gives this bedsheet long life.,Specifications of Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) General Machine Washable Yes Brand Jaipur Print Type Flat Model Name jaipur117 Material Cotton Thread Count 140 Model ID jaipur117 Fabric Care machinewash, do not bleach Size King Color White Warranty waranty of the product only for manufacturing defect only and product will exchange onle when it is not used and returne its origional packing Dimensions Flat Sheet Width 86 inch / 220 cm Fitted Sheet Width 0 cm Pillow Cover Width 17 inch / 45 cm Pillow Cover Length 29 inch / 75 cm Weight 900 g Fitted Sheet Depth 0 cm Fitted Sheet Length 0 cm Flat Sheet Depth 0.2 cm Flat Sheet Length 104 inch / 265 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 bed sheet 2 pillow cover"
74,Shilpi NHSCN003 Coin Bank,,,,,,,,Specifications of Shilpi NHSCN003 Coin Bank (Brown) In The Box Sales Package Coin Bank
75,Jaipur Print Cotton Floral King sized Double Bedsheet,,,,,,,,"Key Features of Jaipur Print Cotton Floral King sized Double Bedsheet 100% cotton,Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) Price: Rs. 998 This is nice bed sheet made in ahmedabad and made up of 100% cotton.This bed sheet have fast colours which gives it long life and new look to your room.,Specifications of Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) General Brand Jaipur Print Machine Washable Yes Type Flat Material Cotton Model Name ahmd11 Thread Count 4 Model ID ahmd11 Character flower Color White Size King Fabric Care Machine Wash, Do Not Bleach Dimensions Flat Sheet Width 86 inch / 220 cm Fitted Sheet Width 0 cm Pillow Cover Width 17 inch / 45 cm Pillow Cover Length 29 inch / 75 cm Weight 900 g Fitted Sheet Depth 0 cm Fitted Sheet Length 0 cm Flat Sheet Depth 0 cm Flat Sheet Length 104 inch / 265 cm Warranty waranty of the product only for manufacturing defect only and product will exchange onle when it is not used and returne its origional packing In the Box Number of Contents in Sales Package 1 Sales Package 1 bed sheet 2 pillow cover"
76,Babeezworld Dungaree Baby Boy's  Combo,,,,,,,,"Specifications of Babeezworld Dungaree Baby Boy's  Combo Apparel Combo Details Primary Product Size S Fabric Cotton Pattern Printed Fit Regular Fit Occasion Casual Ideal For Baby Boy's Additional Details Style Code bbz1105a Fabric Care Wash with Similar Colors, Use Detergent for Colors In the Box Number of Contents in Sales Package 2"
77,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,,,,,,,,"Key Features of Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm Brass Height - 10.8 cm Width - 10.16 cm Weight - 850 g,Specifications of Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm (Brass, Gold) General Brand Redbag Model Number 6437 Type Religious Idols Model Name Eight Armed Goddess Sherawali Maa Material Brass Color Gold Dimensions Weight 850 g Height 10.8 cm Width 10.16 cm Depth 5.08 cm In the Box Sales Package 1 Showpiece Figurine"
78,"Proence Weight Gainers, Mass Gainers",,,,,,,,"Specifications of Proence Weight Gainers, Mass Gainers (60 No, Unflavored) General Dietary Preference No MSG Brand Proence Flavor Unflavored Usage Timings Pre-workout, Post-workout Quantity 60 No Number of Scoops per Container NA Container Type Mason Jar Ayurvedic No Protein Type Weight Gainers, Mass Gainers Model Number 10036 Form Capsules Serving Size 60 No Food Preference Veg Composition Atmagupta sd:-85 mg ,shilajatu:-60 mg , Goksura;-50 mg, Ashwagandha:-50 mg , vidari:-50 mg , Musli:-40 mg , jatiphala:-25 mg , lavanga:-20 mg , Visamusthi:-20 mg , Akarakarabha:-20 mg , Kunkuma:-15 mg Tvak:-15 mg Shelf Life 18 Year Important Note Product information provided by the seller on the Website is not exhaustive, please read the label on the physical product carefully for complete information provided by the manufacturer. For additional information, please contact the manufacturer."
79,Discountgod Men's Checkered Casual Shirt,,,,,,,,Discountgod Men's Checkered Casual Shirt - Buy Blood Red Discountgod Men's Checkered Casual Shirt For Only Rs. 750 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com
80,Silver Streak Men's Printed Casual Denim Shirt,,,,,,,,Silver Streak Men's Printed Casual Denim Shirt - Buy Blue Silver Streak Men's Printed Casual Denim Shirt For Only Rs. 1299 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com
81,Bulaky vanity case Jewellery Vanity Case,,,,,,,,Buy Bulaky vanity case Jewellery Vanity Case for Rs.390 online. Bulaky vanity case Jewellery Vanity Case at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.
82,FDT Women's Leggings,,,,,,,,FDT Women's Leggings - Buy Parrot Green FDT Women's Leggings For Only Rs. 699 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com
83,Madcaps C38GR30 Men's Cargos,,,,,,,,Madcaps C38GR30 Men's Cargos - Buy Green Madcaps C38GR30 Men's Cargos For Only Rs. 2199 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com
84,Bengal Blooms Rose Artificial Plant  with Pot,,,,,,,,"Key Features of Bengal Blooms Rose Artificial Plant  with Pot Assorted Height: 30 cm,Bengal Blooms Rose Artificial Plant  with Pot (30 cm, Multicolor) Price: Rs. 579 The Bengal Blooms Decor your home with artificial flowers attached to a wonderful pot.,Specifications of Bengal Blooms Rose Artificial Plant  with Pot (30 cm, Multicolor) General Brand Bengal Blooms Model Number BBAJC218 Type Assorted Bonsai No Model Name Rose Color Multicolor Pot Features Pot Included Yes Dimensions Total Height 30 cm In the Box Sales Package 1 Assorted Artificial plant with Pot"
85,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,,,,,,,,"Key Features of Indcrown Net Embroidered Semi-stitched Lehenga Choli Material Ghagra Choli , Ghagra, Choli, Dupatta Set , Lehenga Choli , Lehenga, Choli and Dupatta Set .,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material (Semi-stitched) Price: Rs. 699 We have not authorised any other seller to sell our brand Indcrown . Any seller doing so is selling fake Indcrown Products. Buy original Indcrown products from the seller "" indcrown‘’ only,Specifications of Indcrown Net Embroidered Semi-stitched Lehenga Choli Material (Semi-stitched) Fabric Details Fabric Net Type Semi-stitched Lehenga Choli Material General Details Pattern Embroidered Ideal For Women's Color Multicolor Fabric Care Dry clean or else Normal Hand Wash Additional Details Other Details Lehnga Choli is an Indian traditional ware also known as Chaniya Choli. We at Bolly Lounge offers you to attract compliments by this attractive Lehnga Choli made with fine quality material and beautiful work which can be worn for functions, festivals, parties and even office also. This Lehnga Choli ...View More Lehnga Choli is an Indian traditional ware also known as Chaniya Choli. We at Bolly Lounge offers you to attract compliments by this attractive Lehnga Choli made with fine quality material and beautiful work which can be worn for functions, festivals, parties and even office also. This Lehnga Choli is comes with unstitched material so it can be stitched according to your taste and preference. Stunning Self Designed Partywear Salwar Suit Gives A Trendy Look. Suit Having Fine Embroidery Work Over All. A Fine Fabric Used To Make It, It Will Be Comfortable In All Season. Style Code R C Lehe Bt In the Box 1 Lehenga Choli And Duppta Set"
86,Shopmania Music Band A5 Notebook Spiral Bound,,,,,,,,"Specifications of Shopmania Music Band A5 Notebook Spiral Bound (Multicolor) General Ruling Ruled Model id NB00664 Type Notebook GSM 75 Cover Type 300 GSM Hard Laminated Cover No. of Pages 160 Brand Name Shopmania Binding Spiral Bound Color Multicolor Size A5 Dimensions Length 9 inch Width 6 inch Special Features Can be used as Notepad, Diary, Writing pad In the Box Sales Package 1 Notebook"
87,Shopmania Music Band A5 Notebook Spiral Bound,,,,,,,,"Specifications of Shopmania Music Band A5 Notebook Spiral Bound (Multicolor) General Ruling Ruled Model id NB00678 Type Notebook GSM 75 Cover Type 300 GSM Hard Laminated Cover No. of Pages 160 Brand Name Shopmania Binding Spiral Bound Color Multicolor Size A5 Dimensions Length 9 inch Width 6 inch Special Features Can be used as Notepad, Diary, Writing pad In the Box Sales Package 1 Notebook"
